"Fund Name","Asset Class","Bloomberg Ticker","CUSIP Number","ISIN Number","Security Name
Base Market Value","Shares/Par Value","Percent of Fund","Interest Rate","Maturity Date"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","74345HAG6","","PROOFPOINT INC 2024 TERM LOAN
434831.05","434665.88","0.36","0.00","08/31/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","68218HAE7","US68218HAE71","OMNIA PARTNERS LLC 2024 TERM LOAN B
275920.51","275964.66","0.23","0.00","07/25/2030"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","57906HAE7","US57906HAE71","MCAFEE LLC 2024 USD TERM LOAN B
811914.90","813819.24","0.67","0.00","03/01/2029"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","46269KAT1","US46269KAT16","IRIDIUM SATELLITE LLC 2024 TERM LOAN B
205135.79","205563.36","0.17","0.00","09/20/2030"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","BA0005D92","","BROWN GROUP HOLDING LLC 2024 TERM LOAN B2
170835.54","171049.35","0.14","0.00","07/02/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","BA0005D84","","BROWN GROUP HOLDING LLC 2024 TERM LOAN B1
190353.16","190614.30","0.16","0.00","07/02/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","60662WAW2","US60662WAW29","MITCHELL INTERNATIONAL INC 2024 1ST LIEN TERM LOAN 742500.00","750000.00","0.61","0.00","06/17/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","80875CAE7","US80875CAE75","SCIENTIFIC GAMES HOLDINGS LP 2024 USD TERM LOAN B
749908.44","751787.91","0.62","0.00","04/04/2029"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","17781XAD8","US17781XAD84","CITY FOOTBALL GROUP LIMITED 2024 TERM LOAN
903276.51","906958.76","0.74","0.00","07/22/2030"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","20602RAC4","US20602RAC43","CONCENTRA HEALTH SERVICES INC TERM LOAN B
173643.19","173210.16","0.14","0.00","06/26/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","50179JAH1","US50179JAH14","LBM ACQUISITION LLC 2024 INCREMENTAL TERM LOAN B
207136.33","210885.88","0.17","0.00","05/30/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","950BSAII6","","HILDING ANDERS INTER AB 2022 EUR PIK REORG OPCO TL
162447.11","410647.55","0.13","0.00","02/28/2026"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","950BSBII4","","HILDING ANDERS INTER AB 2022 EUR PIK REORG HOLDCO
0.00","414174.14","0.00","0.00","02/28/2027"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","29280KAB1","US29280KAB17","ENERGIZE HOLDCO LLC 2021 1ST LIEN TERM LOAN
238287.23","238049.18","0.20","0.00","12/08/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","953AWJII1","","ALTICE FINANCING SA 2022 EUR TERM LOAN
927868.50","997475.46","0.76","0.00","10/31/2027"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","03836BAB5","US03836BAB53","AQGEN ISLAND HOLDINGS, INC. TERM LOAN
827890.19","828718.91","0.68","0.00","08/02/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","88033GDM9","US88033GDM96","TENET HEALTHCARE CORP SR SECURED 06/29 4.25
698447.85","750000.00","0.57","4.25","06/01/2029"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","948EEWII2","","TECHNICOLOR CREATIVE STUDIOS 2023 PIK EUR REINSTATED TL B1633.40","610075.97","0.00","0.00","09/15/2026"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","948EEYII8","","TECHNICOLOR CREATIVE STUDIOS 2023 PIK EUR NEW MONEY TRANCHE","115320.44","0.00","0.00","07/31/2026"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","81527CAP2","US81527CAP23","SEDGWICK CLAIMS MGMT SRVCS INC 2023 TERM LOAN B
744242.53","744346.74","0.61","0.00","02/24/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","74274NAL7","US74274NAL73","PROAMPAC PG BORROWER LLC 2024 TERM LOAN
797377.43","796183.16","0.65","0.00","09/15/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","00216EAK5","US00216EAK55","TRIDENT TPI HOLDINGS INC 2024 TERM LOAN B6
784252.56","783383.00","0.64","0.00","09/15/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","BA00037S2","","LORCA HOLDCO LIMITED 2024 EUR TERM LOAN B
1069033.47","1000000.00","0.88","0.00","03/25/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","57763TAE3","US57763TAE38","MAUSER PACKAG SOLUTI HLDG COM 2024 TERM LOAN B
867403.45","866917.98","0.71","0.00","04/15/2027"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","75049EAP9","US75049EAP97","RADNET MANAGEMENT INC 2024 TERM LOAN B
421542.88","421720.00","0.35","0.00","04/18/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","ACI1T2D45","XS2010029317","UNITED GROUP BV SR SECURED REGS 11/27 4
519410.98","500000.00","0.43","4.00","11/15/2027"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","00241YAT1","US00241YAT10","AVSC HOLDING CORP 2020 TERM LOAN B1
0.00","0.00","0.00","0.00","03/03/2025"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","30204KAD8","US30204KAD81","EXGEN RENEWABLES IV LLC 2020 TERM LOAN
786954.61","786301.98","0.65","0.00","12/15/2027"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","04649VAX8","US04649VAX82","ASURION LLC 2020 TERM LOAN B8
818118.23","825689.81","0.67","0.00","12/23/2026"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","937HEJII7","","VERISURE HOLDING AB 2021 EURO TERM LOAN
1463854.08","1375000.00","1.20","0.00","03/27/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","12656UAB1","US12656UAB17","CPC ACQUISITION CORP TERM LOAN
432409.62","520192.02","0.35","0.00","12/29/2027"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","35039KAB2","US35039KAB26","FOUNDTN BLDNG MTRL HLDG CO LLC 2021 TERM LOAN
525862.63","532395.12","0.43","0.00","01/31/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","03234TAW8","US03234TAW80","AMWINS GROUP INC AMWINS GROUP INC TERM LOAN B
711773.04","712713.82","0.58","0.00","02/19/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","14880BAH4","US14880BAH42","CATALENT PHARMA SOLUTIONS INC 2021 TERM LOAN B3
588340.16","588929.09","0.48","0.00","02/22/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","38469EAD5","US38469EAD58","GRAHAM PACKAGING COMPANY, INC. 2021 TERM LOAN
857399.79","856628.82","0.70","0.00","08/04/2027"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","48114NAB7","US48114NAB73","JOURNEY PERSONAL CARE CORP. 2021 TERM LOAN B
578591.85","581207.28","0.47","0.00","03/01/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","G9341JAN0","XAG9341JAN00","VERITAS US INC 2021 TERM LOAN B
102056.47","117663.34","0.08","0.00","09/01/2025"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","74339UAS9","US74339UAS96","PROJECT RUBY ULTIMTE PARNT CRP 2021 TERM LOAN
742943.41","742327.28","0.61","0.00","03/10/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","71677HAL9","US71677HAL96","PETSMART INC 2021 TERM LOAN B
222487.58","223419.24","0.18","0.00","02/11/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","72814CAF5","US72814CAF59","PLAYTIKA HOLDING CORP. 2021 TERM LOAN
245061.62","245213.65","0.20","0.00","03/13/2028"
