"MassMutual Global Floating Rate Fund","FIXED INCOME","","12546FAF9","US12546FAF99","CHG PPC PARENT LLC 2021 TERM LOAN
488976.20","488668.34","0.40","0.00","12/08/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","05355JAD0","US05355JAD00","AVEANNA HEALTHCARE LLC 2021 2ND LIEN TERM LOAN
268093.08","292997.90","0.22","0.00","12/10/2029"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","35670CAB4","US35670CAB46","FREEPORT LNG INVESTMENTS, LLLP TERM LOAN B
321729.76","322267.95","0.26","0.00","12/21/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","69291LAB2","US69291LAB27","PECF USS INTERMEDIATE HLDG III TERM LOAN B
440723.84","668604.22","0.36","0.00","12/15/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","58404KAH8","","MEDASSETS SOFTWARE INTRMEDIATE 2021 TERM LOAN
344764.28","424759.17","0.28","0.00","12/18/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","04349HAM6","US04349HAM60","ASCEND LEARNING LLC 2021 2ND LIEN TERM LOAN
0.00","0.00","0.00","0.00","12/10/2029"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","BMX5ZCII1","XS2425326274","ANARAFE SLU SR SECURED REGS 12/26 16.615
117102.93","88898.26","0.10","16.62","12/31/2026"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","74834YAN2","US74834YAN22","QUEST SOFTWARE US HLDGS INC 2022 TERM LOAN
391818.23","530279.52","0.32","0.00","02/01/2029"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","04686RAB9","US04686RAB96","ATHENAHEALTH INC 2022 TERM LOAN B
1044864.37","1049450.47","0.86","0.00","02/15/2029"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","87817JAG3","US87817JAG31","TEAM HEALTH HOLDINGS, INC. 2022 TERM LOAN B
128686.27","138595.87","0.11","0.00","03/02/2027"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","44988LAK3","US44988LAK35","IRB HOLDING CORP 2024 TERM LOAN B
612132.32","612794.14","0.50","0.00","12/15/2027"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","G5080AAH5","XAG5080AAH59","JAZZ FINANCING LUX SARLL 2024 TERM LOAN B
523647.28","523647.28","0.43","0.00","05/05/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","48853UBN9","US48853UBN90","KENAN ADVANTAGE GROUP, INC. 2024 TERM LOAN B3
137594.54","137080.49","0.11","0.00","01/25/2029"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","11823LAM7","US11823LAM72","BUCKEYE PARTNERS LP 2024 TERM LOAN B3
130049.89","129957.62","0.11","0.00","11/01/2026"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","44332EAX4","US44332EAX40","HUB INTERNATIONAL LIMITED 2024 TERM LOAN B
224549.56","224157.28","0.18","0.00","06/20/2030"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","BA0001KY8","","TCHM VRWLTNGSGSLLSCHFT 675 MBH 2024 EUR TERM LOAN B
1067823.29","1000000.00","0.88","0.00","07/15/2029"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","57777YAD8","US57777YAD85","MAVIS TIRE EXPRESS SERVI CORP 2024 TERM LOAN B
741479.12","740553.43","0.61","0.00","05/04/2028"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","04621HAW3","US04621HAW34","ASSUREDPARTNERS INC 2024 INCREMENTAL TERM LOAN B51082797.06","1080625.00","0.89","0.00","02/14/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","G4768PAP6","XAG4768PAP62","INEOS FINANCE PLC 2024 EUR TERM LOAN B
0.00","0.00","0.00","0.00","02/07/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","72706RAB2","US72706RAB24","WOOD MACKENZIE LIMITED 2024 TERM LOAN B
227773.58","226415.09","0.19","0.00","02/07/2031"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","22704NAF9","US22704NAF96","CROCS INC 2024 TERM LOAN
416424.23","413837.74","0.34","0.00","02/20/2029"
"MassMutual Global Floating Rate Fund","FIXED INCOME","","BA0001SB0","","HURTIGRUTEN ASA 2024 EUR TERM LOAN B
360936.39","393605.08","0.30","0.00","09/30/2027"
"MassMutual Global Floating Rate Fund","CASH","","GBP","","POUND STERLING
665851.26","526739.62","0.55","0.00",""
